	Lead Result	Lead Result	Lead Result	Lead Result	Lead Result
	min	max	mean	count	count_above_5
SchoolandWater					
ACORNWoodlandElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
AGBUVatcheandTamarManoukianHighSchoolPASADENACITYWATERDEPT	5.0	5.0	5.0	5	0.0
ALBASANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
AMWinnWaldorfInspiredCALAMSUBURBAN	5.0	12.0	6.4	5	1.0
AbrahamLincolnElementaryCALAMSUBURBAN	5.0	5.0	5.0	5	0.0
AbrahamLincolnHighSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
AbraxasContinuationHighPOWAYCITYOF	5.0	5.0	5.0	5	0.0
AcalanesCenterforIndependentStudyEASTBAYMUD	5.0	5.0	5.0	4	0.0
AcalanesHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
AdamsElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
AdelanteHighContinuationCITYOFROSEVILLE	5.0	5.0	5.0	4	0.0
AdelantoHighADELANTOCITYOF	5.0	5.0	5.0	5	0.0
AlamedaElementaryDOWNEYCITYWATERDEPT	5.0	5.0	5.0	3	0.0
AlamedaHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
AlamedaScienceandTechnologyInstituteEASTBAYMUD	5.0	5.0	5.0	3	0.0
AlamoElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
AlamosaParkElementaryOCEANSIDECITYOF	5.0	5.0	5.0	3	0.0
AlanRowePrepCollegeSCWALAGUNAVINEYARD	5.0	5.0	5.0	3	0.0
AlbanyChildrensCenterEASTBAYMUD	5.0	8.2	5.64	5	1.0
AlbanyHighEASTBAYMUD	5.0	5.0	5.0	5	0.0
AlbanyMiddleEASTBAYMUD	5.0	5.0	5.0	5	0.0
AlbertEinsteinMiddleCALAMSUBURBAN	5.0	5.0	5.0	5	0.0
AlbertSchweitzerElementaryCARMICHAELWATERDISTRICT	5.0	5.0	5.0	6	0.0
AlcottElementarySANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
AlderwoodElementaryIRVINERANCHWATERDISTRICT	5.0	5.08	5.016	5	1.0
AlhambraHighCITYOFALHAMBRA	5.0	5.6	5.12	5	1.0
AliceBirneyElementaryEUREKACITYOF	1.0	5.0	3.44	5	0.0
AliceBirneyWaldorfInspiredCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	5	0.0
AllenEllaBElementarySWEETWATERAUTHORITY	5.0	6.0	5.2	5	1.0
AllenatSteinbeckSANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
AllendaleElementaryEASTBAYMUD	5.0	5.0	5.0	5	0.0
AllianceAliceMBaxterCollegeReadyHighLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	2	0.0
AllianceCindyandBillSimonTechnologyAcademyHighLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	3	0.0
AllianceCollegeReadyMiddleAcademy12LOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	4	0.0
AllianceCollegeReadyMiddleAcademy4LOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	1	0.0
AllianceCollegeReadyMiddleAcademy5LOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	2	0.0
AllianceGertzResslerRichardMerkin612ComplexLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	3	0.0
AllianceJackHSkirballMiddleLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	4	0.0
AllianceJudyIvieBurtonTechnologyAcademyHighLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	3	0.0
AllianceLeadershipMiddleAcademyLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	3	0.0
AllianceMarineInnovationandTechnology612ComplexLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	5	0.0
AllianceOuchiODonovan612ComplexLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	2	0.0
AlliancePattiAndPeterNeuwirthLeadershipAcademyLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	2	0.0
AllianceReneeandMeyerLuskinAcademyHighLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	4	0.0
AllianceRichardMerkinMiddleSchoolLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	4	0.0
AllianceSusanandEricSmidtTechnologyHighLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	2	0.0
AllianceTedKTajimaHighSchoolLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	4	0.0
AllianceWilliamandCarolOuchiHighSchoolLOSANGELESCITYDEPTOFWATERPOWER	5.0	5.0	5.0	2	0.0
AlmadenElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
AlpineElementaryPADREDAMMWD	5.0	5.0	5.0	5	0.0
AltaLomaElementaryCUCAMONGAVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
AltaLomaJuniorHighCUCAMONGAVALLEYWATERDISTRICT	5.0	5.0	5.0	5	0.0
AltaVistaHighContinuationVISTAIRRIGATIONDISTRICT	5.0	5.0	5.0	3	0.0
AltadenaElementaryRUBIOCANONLANDWATERASSOCIATION	5.0	5.0	5.0	10	0.0
AmadorHighAWASUTTERCREEK	5.0	6.9	5.38	5	1.0
AmeliaEarhartElementaryEASTBAYMUD	5.0	5.0	5.0	4	0.0
AmericanInternationalMontessoriSchoolEASTBAYMUD	5.0	5.0	5.0	5	0.0
AmericanLakesElementaryCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
AmericanLegionHighContinuationCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
AmericasFinestCharterSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
AmyBSeibertElementaryCWSBAKERSFIELD	5.0	6.6	5.32	5	1.0
AndrewCarnegieMiddleORANGEVALEWATERCOMPANY	5.0	5.0	5.0	5	0.0
AndrewPHillHighSANJOSEWATERCOMPANY	0.15	1.7	0.868	5	0.0
AngierElementarySANDIEGOCITYOF	5.0	10.2	6.04	5	1.0
AnnaKirchgaterElementaryCALAMPARKWAY	5.0	5.0	5.0	5	0.0
AnneDarlingElementarySANJOSEWATERCOMPANY	5.0	5.0	5.0	5	0.0
AntelopeCreekElementaryPLACERCWAFOOTHILL	5.0	5.0	5.0	5	0.0
AntelopeHighSACRAMENTOSUBURBANWATERDISTRICT	5.0	5.0	5.0	5	0.0
AntonioDelBuonoElementaryCITYOFGILROY	5.0	6.8	5.6000000000000005	3	1.0
AnzaElementaryHELIXWATERDISTRICT	5.0	5.0	5.0	4	0.0
AppleValleyHighAPPLEVALLEYRANCHOSWC	5.0	5.0	5.0	5	0.0
ArbuckleElementaryARBUCKLEPUBLICUTILITYDISTRICT	5.0	5.0	5.0	3	0.0
ArgonautElementarySANJOSEWATERCOMPANY	0.1	2.0	0.5920000000000001	5	0.0
ArgonneElementarySFPUCCITYDISTRIBUTIONDIVISION	5.0	5.0	5.0	5	0.0
ArleneHeinElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
ArlingtonHeightsElementaryCALAMLINCOLNOAKS	5.0	6.3	5.26	5	1.0
ArmenianCommunitySchoolCITYOFCLOVIS	5.0	5.0	5.0	4	0.0
ArnoldAdreaniElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
ArovistaElementaryCITYOFBREA	5.0	5.0	5.0	5	0.0
ArroyoElementaryVENTURAWWDNO8SIMIVALLEY	5.0	5.0	5.0	4	0.0
ArroyoGrandeHighARROYOGRANDEWATERDEPARTMENT	5.0	5.0	5.0	5	0.0
ArroyoPaseoCharterHighSANDIEGOCITYOF	5.0	5.0	5.0	5	0.0
ArroyoSchoolCALIFORNIAWATERSERVICESANCARLOS	5.0	5.0	5.0	2	0.0
ArthurABenjaminHealthProfessionsHighCITYOFSACRAMENTOMAIN	5.0	5.0	5.0	4	0.0
ArthurCButlerElementarySCWALAGUNAVINEYARD	5.0	5.0	5.0	5	0.0
